,,,,,,,,,,,,,
POZO,PEGDA (%),PVA (%),LAP (%),Agua (%),Young Modulus (Kpa),Error Absoluto,Error Relativo (%),Tiempo Sumergido (min),Ratio PVA/PEGDA,Ratio LAP/PEGDA,Ratio Polimero/Agua,DIA ESTUDIO,Altura (mm)
F11,20,7,0.16,72.84,2.227,2.096,94.12,525,0.350,0.008,0.371,3,5.44
F12,16,1,0.1,82.9,149.194,9.36,6.27,532,0.063,0.006,0.205,3,5.18
G1,9,4,0.11,86.89,ERROR,,,539,0.444,0.012,0.150,3,
G2,15,4,0.13,80.87,3.746,1.017,27.15,546,0.267,0.009,0.235,3,4.42
G3,11,2,0.08,86.92,28.686,6.152,21.45,553,0.182,0.007,0.150,3,4.62
G4,17,6,0.11,76.89,1.627,1.273,78.24,560,0.353,0.006,0.299,3,5.16
G5,21,1,0.15,77.85,780.334,24.491,3.14,567,0.048,0.007,0.283,3,5.28
G6,15,2,0.12,82.88,144.235,9.646,6.69,574,0.133,0.008,0.205,3,4.92
G7,27,1,0.07,71.93,997.989,30.024,3.01,581,0.037,0.003,0.389,3,5.22
G8,16,4,0.12,79.88,28.163,6.678,23.71,588,0.250,0.008,0.250,3,4.72
G9,28,1,0.05,70.95,987.96,16.375,1.66,595,0.036,0.002,0.409,3,5.28
G10,15,2,0.12,82.88,87.997,6.415,7.29,602,0.133,0.008,0.205,3,4.96
G11,18,6,0.05,75.95,23.797,6.103,25.65,609,0.333,0.003,0.316,3,5.32
G12,17,4,0.17,78.83,40.669,7.65,18.81,616,0.235,0.010,0.266,3,5.4
H1,10,1,0.19,88.81,57.604,8.521,14.79,623,0.100,0.019,0.124,3,4.6
H2,8,3,0.19,88.81,ERROR,,,630,0.375,0.024,0.124,3,
H3,13,2,0.17,84.83,2.06,2.456,119.22,637,0.154,0.013,0.177,3,4.76
H4,16,4,0.12,79.88,28.993,5.678,19.58,644,0.250,0.008,0.250,3,4.58
H5,13,2,0.17,84.83,34.482,7.861,22.80,651,0.154,0.013,0.177,3,4.78
H6,12,2,0.12,85.88,50.885,8.136,15.99,658,0.167,0.010,0.163,3,4.64
H7,13,4,0.09,82.91,2.221,5.242,236.02,665,0.308,0.007,0.205,3,4.38
H8,12,2,0.07,85.93,29.452,6.854,23.27,672,0.167,0.006,0.163,3,4.52
H9,18,0,0.15,81.85,420.327,8.312,1.98,679,0.000,0.008,0.220,3,5.14
H10,27,1,0.07,71.93,987.672,31.675,3.21,686,0.037,0.003,0.389,3,5.24
H11,11,2,0.08,86.92,27.612,5.715,20.70,693,0.182,0.007,0.150,3,4.56
H12,17,6,0.11,76.89,31.925,7.424,23.25,700,0.353,0.006,0.299,3,5.32
,,,,,,,,,,,,,
